dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,outcome,source_group,targets_elapsed_seconds,targets_return_code,targets_status,unit_name,unsafe_target_count,workspace_dir,workunit_key,compile_ok_count,compile_status,coverage_rate,fix_status,fix_success_count,found_bugs,needs_review,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,top_api_status,top_target_api_id,top_target_path,top_target_score,error_message,error_stage
lru-0.6.6,71.8,,3.16,0,ok,0.25,0,ok,19.64,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/lru-0.6.6/Cargo.toml,erasan_crates/lru-0.6.6/Cargo.toml,validated,ERASAN,0.24,0,ok,lru-0.6.6,9,/tmp/seraph-deepsurf-round1-20260428-2045/lru-0.6.6,erasan_crates/lru-0.6.6/Cargo.toml,0,failed,1.0,ok,1,[],[],48.5,0,ok,0.2631578947368421,0,0,1,0,ok,validated,api::lru::LruCache::iter,lru::LruCache::iter,2.3,,
nano_arena-0.5.2,66.35,,2.02,0,ok,0.24,0,ok,23.26,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/nano_arena-0.5.2/Cargo.toml,erasan_crates/nano_arena-0.5.2/Cargo.toml,validated,ERASAN,0.24,0,ok,nano_arena-0.5.2,1,/tmp/seraph-deepsurf-round1-20260428-2045/nano_arena-0.5.2,erasan_crates/nano_arena-0.5.2/Cargo.toml,0,failed,1.0,ok,1,[],[],40.59,0,ok,0.3333333333333333,0,0,1,0,ok,validated,api::nano_arena::Arena::split_at,nano_arena::Arena::split_at,2.2,,
smallvec-0.6.6,406.62,,2.16,0,ok,0.35,0,ok,145.22,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/smallvec-0.6.6/Cargo.toml,erasan_crates/smallvec-0.6.6/Cargo.toml,validated,ERASAN,0.24,0,ok,smallvec-0.6.6,13,/tmp/seraph-deepsurf-round1-20260428-2045/smallvec-0.6.6,erasan_crates/smallvec-0.6.6/Cargo.toml,0,failed,1.0,ok,1,[],[],258.65,0,ok,0.20588235294117646,0,0,1,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
smallvec-1.6.0,199.32,,1.58,0,ok,0.37,0,ok,130.75,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/smallvec-1.6.0/Cargo.toml,erasan_crates/smallvec-1.6.0/Cargo.toml,validated,ERASAN,0.24,0,ok,smallvec-1.6.0,14,/tmp/seraph-deepsurf-round1-20260428-2045/smallvec-1.6.0,erasan_crates/smallvec-1.6.0/Cargo.toml,0,failed,1.0,ok,1,[],[],66.39,0,ok,0.08571428571428572,0,0,1,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,,
stack_dst-0.6.0,102.07,,0.53,0,ok,0.24,0,ok,18.28,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/stack_dst-0.6.0/Cargo.toml,erasan_crates/stack_dst-0.6.0/Cargo.toml,attempted,ERASAN,0.24,0,ok,stack_dst-0.6.0,7,/tmp/seraph-deepsurf-round1-20260428-2045/stack_dst-0.6.0,erasan_crates/stack_dst-0.6.0/Cargo.toml,0,failed,0.0,failed,0,[],[],82.78,0,ok,0.0,0,0,0,0,skipped,attempted,api::stack_dst::value::ValueA::new_raw,stack_dst::value::ValueA::new_raw,3.3,,
stackvector-1.0.8,313.6,,8.1,0,ok,0.36,0,ok,250.31,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/stackvector-1.0.8/Cargo.toml,erasan_crates/stackvector-1.0.8/Cargo.toml,validated,ERASAN,0.29,0,ok,stackvector-1.0.8,10,/tmp/seraph-deepsurf-round1-20260428-2045/stackvector-1.0.8,erasan_crates/stackvector-1.0.8/Cargo.toml,0,failed,1.0,ok,1,[],[],54.53,0,ok,0.21212121212121213,0,0,1,0,ok,validated,api::stackvector::StackVec::drain,stackvector::StackVec::drain,2.3,,
arenavec-0.1.1,120.76,,3.6,0,ok,0.26,0,ok,61.89,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/arenavec-0.1.1/Cargo.toml,rustsan_crates/arenavec-0.1.1/Cargo.toml,attempted,RUSTSAN,0.24,0,ok,arenavec-0.1.1,8,/tmp/seraph-deepsurf-round1-20260428-2045/arenavec-0.1.1,rustsan_crates/arenavec-0.1.1/Cargo.toml,0,failed,0.0,failed,0,[],[],54.75,0,ok,0.0,0,0,0,0,skipped,attempted,api::arenavec::common::SliceVec::split_off,arenavec::common::SliceVec::split_off,2.3,,
array-queue-0.3.3,54.58,,0.57,0,ok,0.24,0,ok,16.74,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/array-queue-0.3.3/Cargo.toml,rustsan_crates/array-queue-0.3.3/Cargo.toml,validated,RUSTSAN,0.24,0,ok,array-queue-0.3.3,3,/tmp/seraph-deepsurf-round1-20260428-2045/array-queue-0.3.3,rustsan_crates/array-queue-0.3.3/Cargo.toml,0,failed,1.0,ok,1,[],[],36.78,0,ok,0.0,0,0,1,0,ok,validated,api::array_queue::array_queue::ArrayQueue::new,array_queue::array_queue::ArrayQueue::new,2.3,,
base64-0.5.1,65.88,,1.5,0,ok,0.25,0,ok,11.03,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/base64-0.5.1/Cargo.toml,rustsan_crates/base64-0.5.1/Cargo.toml,attempted,RUSTSAN,0.24,0,ok,base64-0.5.1,1,/tmp/seraph-deepsurf-round1-20260428-2045/base64-0.5.1,rustsan_crates/base64-0.5.1/Cargo.toml,0,failed,0.0,failed,0,[],[],52.86,0,ok,0.0,0,0,0,0,skipped,attempted,api::base64::encode_config_buf,base64::encode_config_buf,2.2,,
bumpalo-3.2.0,81.01,,1.99,0,ok,0.3,0,ok,30.03,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/bumpalo-3.2.0/Cargo.toml,rustsan_crates/bumpalo-3.2.0/Cargo.toml,validated,RUSTSAN,0.24,0,ok,bumpalo-3.2.0,8,/tmp/seraph-deepsurf-round1-20260428-2045/bumpalo-3.2.0,rustsan_crates/bumpalo-3.2.0/Cargo.toml,0,failed,1.0,ok,1,[],[],48.43,0,ok,0.26666666666666666,0,0,1,0,ok,validated,api::bumpalo::Bump::with_capacity,bumpalo::Bump::with_capacity,2.3,,
