compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,fix_status,fix_success_count,found_bugs,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,needs_review,outcome,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,source_group,targets_elapsed_seconds,targets_return_code,targets_status,top_api_status,top_target_api_id,top_target_path,top_target_score,unit_name,unsafe_target_count,workspace_dir,workunit_key,error_message,error_stage,rerun_date,rerun_kind,supersedes_workspace_dir
,,,,,,pnet_packet-0.26.0,0.39,,0.38,1,failed,,,,,,,,,,/tmp/deepSURF-main/dataset/erasan_crates/pnet_packet-0.26.0/Cargo.toml,erasan_crates/pnet_packet-0.26.0/Cargo.toml,,extract_failed,,,,,,,,,,ERASAN,,,,,,,,pnet_packet-0.26.0,,/tmp/seraph-deepsurf-round1-latest-20260429/pnet_packet-0.26.0,erasan_crates/pnet_packet-0.26.0/Cargo.toml,  thread caused non-unwinding panic. aborting.,extract,,,
,,,,,,qwutils-0.3.0,144.14,,0.82,0,ok,,,,0.25,0,ok,142.83,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/qwutils-0.3.0/Cargo.toml,erasan_crates/qwutils-0.3.0/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.25,0,ok,,,,,qwutils-0.3.0,0,/tmp/seraph-deepsurf-round1-latest-20260429/qwutils-0.3.0,erasan_crates/qwutils-0.3.0/Cargo.toml,,,,,
,,,,,,rdiff-0.1.2,52.45,,0.56,0,ok,,,,0.27,0,ok,51.38,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/rdiff-0.1.2/Cargo.toml,erasan_crates/rdiff-0.1.2/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.24,0,ok,,,,,rdiff-0.1.2,0,/tmp/seraph-deepsurf-round1-latest-20260429/rdiff-0.1.2,erasan_crates/rdiff-0.1.2/Cargo.toml,,,,,
[],[],,1,ok,1.0,rusqlite-0.26.1,683.72,,1.05,0,ok,ok,0,[],0.38,0,ok,234.77,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/rusqlite-0.26.1/Cargo.toml,erasan_crates/rusqlite-0.26.1/Cargo.toml,[],validated,447.28,0,ok,0.12121212121212122,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::rusqlite::OpenFlags::from_bits_unchecked,rusqlite::OpenFlags::from_bits_unchecked,5.05,rusqlite-0.26.1,10,/tmp/seraph-deepsurf-round1-latest-20260429/rusqlite-0.26.1,erasan_crates/rusqlite-0.26.1/Cargo.toml,,,,,
,,,,,,secp256k1-0.22.0,0.65,,0.65,1,failed,,,,,,,,,,/tmp/deepSURF-main/dataset/erasan_crates/secp256k1-0.22.0/Cargo.toml,erasan_crates/secp256k1-0.22.0/Cargo.toml,,extract_failed,,,,,,,,,,ERASAN,,,,,,,,secp256k1-0.22.0,,/tmp/seraph-deepsurf-round1-latest-20260429/secp256k1-0.22.0,erasan_crates/secp256k1-0.22.0/Cargo.toml,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 640256",extract,,,
[],[],,1,ok,1.0,simple-slab-0.3.2,46.35,,0.52,0,ok,ok,0,[],0.24,0,ok,17.18,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/simple-slab-0.3.2/Cargo.toml,erasan_crates/simple-slab-0.3.2/Cargo.toml,[],validated,28.17,0,ok,0.5,0,0,1,0,ok,ERASAN,0.23,0,ok,validated,api::simple_slab::Slab::with_capacity,simple_slab::Slab::with_capacity,2.3,simple-slab-0.3.2,2,/tmp/seraph-deepsurf-round1-latest-20260429/simple-slab-0.3.2,erasan_crates/simple-slab-0.3.2/Cargo.toml,,,,,
"[""slice-deque""]","[""lib""]",crate_build_failed,0,failed,0.0,slice-deque-0.3.0,195.09,,0.88,0,ok,failed,0,[],0.39,0,ok,81.3,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/slice-deque-0.3.0/Cargo.toml,erasan_crates/slice-deque-0.3.0/Cargo.toml,[],crate_build_failed,112.28,0,ok,0.0,0,0,0,0,skipped,ERASAN,0.24,0,ok,attempted,api::slice_deque::SliceDeque::move_head_unchecked,slice_deque::SliceDeque::move_head_unchecked,3.7,slice-deque-0.3.0,30,/tmp/seraph-deepsurf-round1-latest-20260429/slice-deque-0.3.0,erasan_crates/slice-deque-0.3.0/Cargo.toml,,,,,
[],[],,1,ok,1.0,smallvec-0.6.6,255.1,,0.65,0,ok,ok,0,[],0.3,0,ok,129.43,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/smallvec-0.6.6/Cargo.toml,erasan_crates/smallvec-0.6.6/Cargo.toml,[],validated,124.48,0,ok,0.2647058823529412,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,smallvec-0.6.6,13,/tmp/seraph-deepsurf-round1-latest-20260429/smallvec-0.6.6,erasan_crates/smallvec-0.6.6/Cargo.toml,,,,,
[],[],,1,ok,1.0,smallvec-1.6.0,222.98,,0.56,0,ok,ok,0,[],0.31,0,ok,94.07,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/smallvec-1.6.0/Cargo.toml,erasan_crates/smallvec-1.6.0/Cargo.toml,[],validated,127.8,0,ok,0.0,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::smallvec::SmallVec::drain,smallvec::SmallVec::drain,2.3,smallvec-1.6.0,14,/tmp/seraph-deepsurf-round1-latest-20260429/smallvec-1.6.0,erasan_crates/smallvec-1.6.0/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,stack_dst-0.6.0,95.63,,0.46,0,ok,ok,1,[],0.25,0,ok,27.28,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/stack_dst-0.6.0/Cargo.toml,erasan_crates/stack_dst-0.6.0/Cargo.toml,[],validated,67.4,0,ok,0.0,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::stack_dst::value::ValueA::new_raw,stack_dst::value::ValueA::new_raw,3.3,stack_dst-0.6.0,7,/tmp/seraph-deepsurf-round1-latest-20260429/stack_dst-0.6.0,erasan_crates/stack_dst-0.6.0/Cargo.toml,,,,,
